Name,Stadt,Type,Land,Kontakt,Einwohner,Bürgermeister,Partei,Kontaktdaten,,,,,,,
Stadt Hamm Ausländer- und Flüchtlingsamt,Hamm Ausländer- und Flüchtlingsamt,Stadt,Nordrhein-Westfalen,N,#N/A,#N/A,#N/A,abh@kreis-wesel.de,,,,,,,
STV Herne,Herne,Stadt,Nordrhein-Westfalen,N,155851,Frank Dudda,SPD,auslaenderamt@herne.de,,,,,,,
STV Iserlohn,Iserlohn,Stadt,Nordrhein-Westfalen,N,91811,#N/A,#N/A,integration-aufenthaltsrecht@iserlohn.de,,,,,,,
STV Lünen,Lünen,Stadt,Nordrhein-Westfalen,N,86163,#N/A,#N/A,auslaenderwesen@luenen.de,,,,,,,
STV Witten,Witten,Stadt,Nordrhein-Westfalen,N,91808,Torsten Zugehör,Parteilos,auslaenderbehoerde@stadt-witten.de,,,,,,,
KRV Olpe,Olpe,Stadt,Nordrhein-Westfalen,N,24695,#N/A,#N/A,auslaenderbehoerde@kreis-olpe.de,,,,,,,
KRV Siegen-Wittgenstein,Siegen-Wittgenstein,Stadt,Nordrhein-Westfalen,N,#N/A,#N/A,#N/A,abh@siegen.de,,,,,,,
KRV Soest,Soest,Stadt,Nordrhein-Westfalen,N,47776,#N/A,#N/A,aufenthalt@kreis-soest.de,,,,,,,
KRV Unna,Unna,Stadt,Nordrhein-Westfalen,N,58333,#N/A,#N/A,fb32@kreis-unna.de,,,,,,,
ZAB Kreis Unna,Unna,Stadt,Nordrhein-Westfalen,N,58333,#N/A,#N/A,fb32@kreis-unna.de,,,,,,,
STV Bielefeld,Bielefeld,Stadt,Nordrhein-Westfalen,N,331605,Christiana Bauer,CDU/CSU,auslaenderbehoerde@bielefeld.de,,,,,,,
STV Herford,Herford,Stadt,Nordrhein-Westfalen,N,67503,#N/A,#N/A,auslaenderbuero@herford.de,,,,,,,
KRV Lippe,Lippe,Stadt,Nordrhein-Westfalen,N,#N/A,#N/A,#N/A,f.lindner@siegen-wittgenstein.de,,,,,,,
KRV Herford,Herford,Stadt,Nordrhein-Westfalen,N,67503,#N/A,#N/A,auslaenderbuero@herford.de,,,,,,,
KRV Höxter,Höxter,Stadt,Nordrhein-Westfalen,N,28166,#N/A,#N/A,auslaenderbehoerde@kreis-hoexter.de,,,,,,,
KRV Minden-Lübbecke,Minden-Lübbecke,Stadt,Nordrhein-Westfalen,N,#N/A,#N/A,#N/A,abh@minden.de,,,,,,,
KRV Paderborn,Paderborn,Stadt,Nordrhein-Westfalen,N,156378,#N/A,#N/A,auslaenderabteilung@paderborn.de,,,,,,,
KRV Gütersloh,Gütersloh,Stadt,Nordrhein-Westfalen,N,100479,#N/A,#N/A,abh@guetersloh.de,,,,,,,
STV Düsseldorf,Düsseldorf,Stadt,Nordrhein-Westfalen,N,618685,Stephan Keller,CDU/CSU,abh-backoffice@duesseldorf.de,,,,,,,
STV Duisburg,Duisburg,Stadt,Nordrhein-Westfalen,N,502270,Sören Link,SPD,aie@stadt-duisburg.de,,,,,,,
ABH Stadt Essen,Stadt Essen,Stadt,Nordrhein-Westfalen,N,#N/A,#N/A,#N/A,auslaenderbehoerde@einwohneramt.essen.de,,,,,,,
ZAB Essen,Essen,Stadt,Nordrhein-Westfalen,N,574682,Thomas Kufen,CDU/CSU,auslaenderbehoerde@einwohneramt.essen.de,,,,,,,
STV Krefeld,Krefeld,Stadt,Nordrhein-Westfalen,N,231406,Frank Meyer,SPD,auslaenderamt@krefeld.de,,,,,,,
STV Leverkusen,Leverkusen,Stadt,Nordrhein-Westfalen,N,168581,Stefan Hebbel,CDU/CSU,333abh@stadt.leverkusen.de,,,,,,,
STV Mönchengladbach,Mönchengladbach,Stadt,Nordrhein-Westfalen,N,267213,Felix Heinrichs,SPD,auslaenderwesen@moenchengladbach.de,,,,,,,
BezReg Münster RRK,Münster,Stadt,Nordrhein-Westfalen,N,308258,Tilman Fuchs,Grüne,auslaenderamt@stadt-muenster.de,,,,,,,
STV Mülheim/Ruhr,Mülheim,Stadt,Nordrhein-Westfalen,N,173050,Marc Buchholz,CDU/CSU,auslaenderbehoerde@muelheim-ruhr.de,,,,,,,
Integrationsamt Neuss,Neuss,Stadt,Nordrhein-Westfalen,N,154317,#N/A,#N/A,migration@stadt.neuss.de,,,,,,,
STV Oberhausen,Oberhausen,Stadt,Nordrhein-Westfalen,N,213646,Thorsten Berg,SPD,fachbereich.auslaenderangelegenheiten@oberhausen.de,,,,,,,
STV Remscheid,Remscheid,Stadt,Nordrhein-Westfalen,N,113828,Sven Wolf,SPD,auslaenderamt@remscheid.de,,,,,,,
STV Solingen,Solingen,Stadt,Nordrhein-Westfalen,N,165626,Daniel Flemm,CDU/CSU,ala@solingen.de,,,,,,,
STV Viersen,Viersen,Stadt,Nordrhein-Westfalen,N,78373,#N/A,#N/A,auslaenderangelegenheiten@viersen.de,,,,,,,
STV Wuppertal,Wuppertal,Stadt,Nordrhein-Westfalen,N,358193,Miriam Scherff,SPD,auslaenderbehoerde@stadt.wuppertal.de,,,,,,,
KRV Mettmann,Mettmann,Stadt,Nordrhein-Westfalen,N,39542,#N/A,#N/A,auslaenderbehoerde@kreis-mettmann.de,,,,,,,
KRV Viersen,Viersen,Stadt,Nordrhein-Westfalen,N,78373,#N/A,#N/A,auslaenderangelegenheiten@viersen.de,,,,,,,
KRV Kleve,Kleve,Stadt,Nordrhein-Westfalen,N,53028,#N/A,#N/A,abh@steinburg.de,,,,,,,
KRV Wesel,Wesel,Stadt,Nordrhein-Westfalen,N,60785,#N/A,#N/A,team74@wesel.de,,,,,,,
STV Bonn,Bonn,Stadt,Nordrhein-Westfalen,N,323336,Guido Déus,CDU/CSU,auslaenderamt@bonn.de,,,,,,,
STV Köln,Köln,Stadt,Nordrhein-Westfalen,N,1024621,Torsten Burmester,SPD,auslaenderamt-info@stadt-koeln.de,,,,,,,
ZAB Köln,Köln,Stadt,Nordrhein-Westfalen,N,1024621,Torsten Burmester,SPD,auslaenderamt-info@stadt-koeln.de,,,,,,,
Bezirksregierung Köln,Köln,Stadt,Nordrhein-Westfalen,N,1024621,Torsten Burmester,SPD,auslaenderamt-info@stadt-koeln.de,,,,,,,
Bezirksregierung Köln ZFE,Köln,Stadt,Nordrhein-Westfalen,N,1024621,Torsten Burmester,SPD,auslaenderamt-info@stadt-koeln.de,,,,,,,
KRV Euskirchen,Euskirchen,Stadt,Nordrhein-Westfalen,N,60021,#N/A,#N/A,auslaenderamt@kreis-euskirchen.de,,,,,,,
STV Bocholt,"Bocholt, Germany",Stadt,Nordrhein-Westfalen,N,#N/A,#N/A,#N/A,,,,,,,,
STV Bottrop,Bottrop,Stadt,Nordrhein-Westfalen,N,118535,Matthias Buschfeld,SPD,auslaenderbehoerde@bottrop.de,,,,,,,
STV Gelsenkirchen,Gelsenkirchen,Stadt,Nordrhein-Westfalen,N,267930,Andrea Henze,SPD,auslaenderbehoerde@gelsenkirchen.de,,,,,,,
STV Gladbeck,Gladbeck,Stadt,Nordrhein-Westfalen,N,75499,#N/A,#N/A,auslaenderamt@stadt-gladbeck.de,,,,,,,
STV Münster,Münster,Stadt,Nordrhein-Westfalen,N,308258,Tilman Fuchs,Grüne,auslaenderamt@stadt-muenster.de,,,,,,,
STV Recklinghausen,Recklinghausen,Stadt,Nordrhein-Westfalen,N,115344,#N/A,#N/A,auslaenderamt@recklinghausen.de,,,,,,,
KRV Borken,Borken,Stadt,Nordrhein-Westfalen,N,43035,#N/A,#N/A,Auslaenderbehoerde@Schwalm-Eder-Kreis.de,,,,,,,
KRV Coesfeld,Coesfeld,Stadt,Nordrhein-Westfalen,N,38237,#N/A,#N/A,auslaenderbehoerde@kreis-coesfeld.de,,,,,,,
ZAB Coesfeld,Coesfeld,Stadt,Nordrhein-Westfalen,N,38237,#N/A,#N/A,auslaenderbehoerde@kreis-coesfeld.de,,,,,,,
KRV Recklinghausen,Recklinghausen,Stadt,Nordrhein-Westfalen,N,115344,#N/A,#N/A,auslaenderamt@recklinghausen.de,,,,,,,
KRV Steinfurt,Steinfurt,Stadt,Nordrhein-Westfalen,N,34860,#N/A,#N/A,post@kreis-steinfurt.de,,,,,,,
KRV Warendorf,Warendorf,Stadt,Nordrhein-Westfalen,N,37703,#N/A,#N/A,verwaltung@kreis-warendorf.de,,,,,,,
STV Arnsberg,Arnsberg,Stadt,Nordrhein-Westfalen,N,74879,#N/A,#N/A,auslaenderamt@arnsberg.de,,,,,,,
STV Lippstadt,Lippstadt,Stadt,Nordrhein-Westfalen,N,68739,#N/A,#N/A,post@stadt-lippstadt.de,,,,,,,
STV Siegen,Siegen,Stadt,Nordrhein-Westfalen,N,102685,#N/A,#N/A,abh@siegen.de,,,,,,,
STV Detmold,Detmold,Stadt,Nordrhein-Westfalen,N,74278,#N/A,#N/A,auslaenderbehoerde@detmold.de,,,,,,,
BezReg Detmold RRK,Detmold,Stadt,Nordrhein-Westfalen,N,74278,#N/A,#N/A,auslaenderbehoerde@detmold.de,,,,,,,
STV Gütersloh,Gütersloh,Stadt,Nordrhein-Westfalen,N,100479,#N/A,#N/A,abh@guetersloh.de,,,,,,,
STV Minden,Minden,Stadt,Nordrhein-Westfalen,N,84013,#N/A,#N/A,abh@minden.de,,,,,,,
STV Paderborn,Paderborn,Stadt,Nordrhein-Westfalen,N,156378,#N/A,#N/A,auslaenderabteilung@paderborn.de,,,,,,,
STV Moers,Moers,Stadt,Nordrhein-Westfalen,N,101503,#N/A,#N/A,auslaenderbehoerde@moers.de,,,,,,,
STV Dorsten,Dorsten,Stadt,Nordrhein-Westfalen,N,75277,#N/A,#N/A,auslaenderbehoerde@dorsten.de,,,,,,,
STV Herten,Herten,Stadt,Nordrhein-Westfalen,N,60941,#N/A,#N/A,auslaenderbehoerde@herten.de,,,,,,,
STV Marl,Marl,Stadt,Nordrhein-Westfalen,N,86766,#N/A,#N/A,auslaenderamt@marl.de,,,,,,,
STV Rheine,Rheine,Stadt,Nordrhein-Westfalen,N,77209,#N/A,#N/A,abh@rheine.de,,,,,,,
Bezirksregierung Düsseldorf,Düsseldorf,Stadt,Nordrhein-Westfalen,N,618685,Stephan Keller,CDU/CSU,abh-backoffice@duesseldorf.de,,,,,,,
STV Dinslaken,Dinslaken,Stadt,Nordrhein-Westfalen,N,66993,#N/A,#N/A,information@dinslaken.de,,,,,,,
STV Ludwigshafen,Ludwigshafen,Stadt,Rheinland-Pfalz,N,177222,Klaus Blettner,CDU/CSU,aufenthaltsrecht@ludwigshafen.de,,,,,,,
STV Frankenthal,Frankenthal,Stadt,Rheinland-Pfalz,N,48140,Nicolas Meyer,FWG,Auslaenderamt@lra-bautzen.de,,,,,,,
STV Kaiserslautern,Kaiserslautern,Stadt,Rheinland-Pfalz,N,100426,Beate Kimmel,SPD,auslaenderbehoerde@kaiserslautern.de,,,,,,,
ZABH für Fachkräfteeinwanderung Rheinland-Pfalz,für Fachkräfteeinwanderung Rheinland-Pfalz,Stadt,Rheinland-Pfalz,N,#N/A,#N/A,#N/A,post@kreis-badkreuznach.de,,,,,,,
STV Landau,Landau,Stadt,Rheinland-Pfalz,N,48209,Dominik Geißler,CDU/CSU,auslaenderbehoerde@landau.de,,,,,,,
STV Neustadt/Weinstraße,Neustadt an der Weinstraße,Stadt,Rheinland-Pfalz,N,52945,Marc Weigel,FWG,auslaenderbehoerde@stadt-nw.de,,,,,,,
STV Pirmasens,Pirmasens,Stadt,Rheinland-Pfalz,N,39761,Markus Zwick,CDU/CSU,auslaenderamt@pirmasens.de,,,,,,,
STV Speyer,Speyer,Stadt,Rheinland-Pfalz,N,49564,Stefanie Seiler,SPD,auslaenderwesen@stadt-speyer.de,,,,,,,
ABH Stadt Speyer Außenstelle LEA,Stadt Speyer Außenstelle,Stadt,Rheinland-Pfalz,N,#N/A,#N/A,#N/A,auslaenderbehoerde@stadt-nw.de,,,,,,,
STV Zweibrücken,Zweibrücken,Stadt,Rheinland-Pfalz,N,33323,Marold Wosnitza,SPD,auslaenderwesen@zweibruecken.de,,,,,,,
KRV Bad Dürkheim,Bad Dürkheim,Stadt,Rheinland-Pfalz,N,19159,#N/A,#N/A,info@kreis-bad-duerkheim.de,,,,,,,
KRV Germersheim,Germersheim,Stadt,Rheinland-Pfalz,N,21715,#N/A,#N/A,kreisverwaltung@kreis-germersheim.de,,,,,,,
KRV Kaiserslautern,Kaiserslautern,Stadt,Rheinland-Pfalz,N,100426,Beate Kimmel,SPD,auslaenderbehoerde@kaiserslautern.de,,,,,,,
ABH Kusel (Standort KRV Kusel),Kusel (Standort KRV Kusel,Stadt,Rheinland-Pfalz,N,#N/A,#N/A,#N/A,fb-ordnung@lkjl.de,,,,,,,
ABH Kusel (Standort AfA Kusel),Kusel (Standort AfA Kusel,Stadt,Rheinland-Pfalz,N,#N/A,#N/A,#N/A,fb-ordnung@lkjl.de,,,,,,,
KRV Südliche Weinstraße,Südliche Weinstraße,Stadt,Rheinland-Pfalz,N,#N/A,#N/A,#N/A,auslaenderbehoerde@kreis-vg.de,,,,,,,
KRV Südwestpfalz,Südwestpfalz,Stadt,Rheinland-Pfalz,N,#N/A,#N/A,#N/A,abh@siegen.de,,,,,,,
STV Koblenz,Koblenz,Stadt,Rheinland-Pfalz,N,113378,David Langner,SPD,ordnungsamt@stadt.koblenz.de,,,,,,,
KRV Ahrweiler,Ahrweiler,Stadt,Rheinland-Pfalz,N,27961,#N/A,#N/A,joerg.schubert@aw-online.de,,,,,,,
KRV Altenkirchen,Altenkirchen,Stadt,Rheinland-Pfalz,N,6758,#N/A,#N/A,fd35@lk-vr.de,,,,,,,
KRV Birkenfeld,Birkenfeld,Stadt,Rheinland-Pfalz,N,7062,#N/A,#N/A,r.simon@landkreis-birkenfeld.de,,,,,,,
KRV Cochem-Zell,Cochem-Zell,Stadt,Rheinland-Pfalz,N,#N/A,#N/A,#N/A,auslaenderbehoerde@cochem-zell.de,,,,,,,
KRV Mayen-Koblenz,Mayen-Koblenz,Stadt,Rheinland-Pfalz,N,#N/A,#N/A,#N/A,auslaenderbehoerde@kvmyk.de,,,,,,,
KRV Bad Kreuznach,Bad Kreuznach,Stadt,Rheinland-Pfalz,N,54168,Emanuel Letz,FDP,post@kreis-badkreuznach.de,,,,,,,
KRV Neuwied,Neuwied,Stadt,Rheinland-Pfalz,N,67083,Jan Einig,CDU/CSU,auslaenderbehoerde@kreis-neuwied.de,,,,,,,
STV Mainz,Mainz,Stadt,Rheinland-Pfalz,N,224684,Nino Haase,Parteilos,buergeramt@stadt.mainz.de,,,,,,,
STV Worms,Worms,Stadt,Rheinland-Pfalz,N,86753,Adolf Kessel,CDU/CSU,auslaenderbehoerde@worms.de,,,,,,,
KRV Alzey-Worms,Alzey,Stadt,Rheinland-Pfalz,N,19468,#N/A,#N/A,kraemer.steffen@alzey-worms.de,,,,,,,
KRV Mainz-Bingen,Mainz,Stadt,Rheinland-Pfalz,N,224684,Nino Haase,Parteilos,buergeramt@stadt.mainz.de,,,,,,,
STV Trier (ABH Thyrsusstraße),Trier,Stadt,Rheinland-Pfalz,N,104342,Wolfram Leibe,SPD,auslaenderbehoerde@trier.de,,,,,,,
STV Trier (ABH Außenstelle),Trier,Stadt,Rheinland-Pfalz,N,104342,Wolfram Leibe,SPD,auslaenderbehoerde@trier.de,,,,,,,
ABH Bitburg-Prüm (Trierer Str),Bitburg,Stadt,Rheinland-Pfalz,N,15554,#N/A,#N/A,auslaenderbehoerde@bitburg-pruem.de,,,,,,,
ABH Bitburg-Prüm (AfA),Bitburg,Stadt,Rheinland-Pfalz,N,15554,#N/A,#N/A,auslaenderbehoerde@bitburg-pruem.de,,,,,,,
KRV Vulkaneifel,Vulkaneifel,Stadt,Rheinland-Pfalz,N,#N/A,#N/A,#N/A,auslaenderbehoerde@cochem-zell.de,,,,,,,
KRV Trier-Saarburg,Saarburg,Stadt,Rheinland-Pfalz,N,7504,#N/A,#N/A,auslaenderbehoerde@trier-saarburg.de,,,,,,,
LK Trier-Saarburg AfA,Saarburg,Stadt,Rheinland-Pfalz,N,7504,#N/A,#N/A,auslaenderbehoerde@trier-saarburg.de,,,,,,,
KRV Bernkastel-Wittlich,Wittlich,Stadt,Rheinland-Pfalz,N,19049,#N/A,#N/A,team-abh@Bernkastel-Wittlich.de,,,,,,,
ZAB Lebach,Lebach,Stadt,Saarland,N,19468,#N/A,#N/A,service@bamf.bund.de,,,,,,,
LRA Bautzen,Bautzen,Stadt,Sachsen,N,37566,Karsten Vogt,CDU/CSU,Auslaenderamt@lra-bautzen.de,,,,,,,
STV Dresden,Dresden,Stadt,Sachsen,N,564904,Dirk Hilbert,FDP,auslaenderbehoerde@dresden.de,,,,,,,
LRA Meißen,Meißen,Stadt,Sachsen,N,28753,Markus Renner,Parteilos,ordnungsamt@kreis-meissen.de,,,,,,,
LKR Görlitz,Görlitz,Stadt,Sachsen,N,55186,Octavian Ursu,CDU/CSU,auslaenderbehoerde@kreis-gr.de,,,,,,,
LRA Sächs. Schweiz-Osterzgeb.,Sächs. Schweiz-Osterzgeb,Stadt,Sachsen,N,#N/A,#N/A,#N/A,auslaenderbehoerde@landkreis-mittelsachsen.de,,,,,,,
Landkreis Leipzig,Leipzig,Stadt,Sachsen,N,611850,Burkhard Jung,SPD,auslaender-leipzig@leipzig.de,,,,,,,
Stadt Leipzig,Leipzig,Stadt,Sachsen,N,611850,Burkhard Jung,SPD,auslaender-leipzig@leipzig.de,,,,,,,
LKR Nordsachsen,Nordsachsen,Stadt,Sachsen,N,#N/A,#N/A,#N/A,info@kaufbeuren.de,,,,,,,
LKR Mittelsachsen,Mittelsachsen,Stadt,Sachsen,N,#N/A,#N/A,#N/A,auslaenderbehoerde@landkreis-fulda.de,,,,,,,
Landratsamt Zwickau,Zwickau,Stadt,Sachsen,N,87410,Constance Arndt,Parteilos,auslaender@landkreis-zwickau.de,,,,,,,
STV Chemnitz,Chemnitz,Stadt,Sachsen,N,245618,Sven Schulze,SPD,auslaenderbehoerde@stadt-chemnitz.de,,,,,,,
ZAB Chemnitz,Chemnitz,Stadt,Sachsen,N,245618,Sven Schulze,SPD,auslaenderbehoerde@stadt-chemnitz.de,,,,,,,
EAE Dresden,Dresden,Stadt,Sachsen,N,564904,Dirk Hilbert,FDP,auslaenderbehoerde@dresden.de,,,,,,,
EAE Chemnitz,Chemnitz,Stadt,Sachsen,N,245618,Sven Schulze,SPD,auslaenderbehoerde@stadt-chemnitz.de,,,,,,,
EAE Leipzig,Leipzig,Stadt,Sachsen,N,611850,Burkhard Jung,SPD,auslaender-leipzig@leipzig.de,,,,,,,
LKR Harz-Außenstelle ZASt,Harz-Außenstelle ZASt,Stadt,Sachsen-Anhalt,N,#N/A,#N/A,#N/A,auslaenderamt@lra-ed.de,,,,,,,
LKR Jerichower Land,Jerichower Land,Stadt,Sachsen-Anhalt,N,#N/A,#N/A,#N/A,fb-ordnung@lkjl.de,,,,,,,
LKR Harz,Harz,Stadt,Sachsen-Anhalt,N,21598,#N/A,#N/A,auslaenderwesen@lrandh.thueringen.de,,,,,,,
LKR Börde,Börde,Stadt,Sachsen-Anhalt,N,13724,#N/A,#N/A,auslaenderbehoerde@kreis-slk.de,,,,,,,
LHS Magdeburg,Magdeburg,Stadt,Sachsen-Anhalt,N,244329,Simone Borris,Parteilos,abh-zentrale@ewo.magdeburg.de,,,,,,,
LRA Stendal Hauptstandort,Stendal Hauptstandort,Stadt,Sachsen-Anhalt,N,#N/A,#N/A,#N/A,ordnungsamt@landkreis-stendal.de,,,,,,,
LRA Stendal Nebenstandort in der Landeserstaufnahmeeinrichtung Stendal,Stendal Nebenstandort in der Landeserstaufnahmeeinrichtung Stendal,Stadt,Sachsen-Anhalt,N,#N/A,#N/A,#N/A,ordnungsamt@landkreis-stendal.de,,,,,,,
STV Dessau-Roßlau,Dessau-Roßlau,Stadt,Sachsen-Anhalt,N,75402,Robert Reck,Parteilos,buergeramt@dessau-rosslau.de,,,,,,,
STV Halle,Halle,Stadt,Sachsen-Anhalt,N,226767,Alexander Vogt,Parteilos,buergerservice@halle.de,,,,,,,
LKR Anhalt - Bitterfeld,Anhalt-Bitterfeld,Stadt,Sachsen-Anhalt,N,#N/A,#N/A,#N/A,doreen.arnold@anhalt-bitterfeld.de,,,,,,,
LKR Mansfeld - Südharz,Mansfeld-Südharz,Stadt,Sachsen-Anhalt,N,#N/A,#N/A,#N/A,ordnungsamt@mansfeldsuedharz.de,,,,,,,
LKR Wittenberg,Wittenberg,Stadt,Sachsen-Anhalt,N,45249,Torsten Zugehör,Parteilos,auslaenderbehoerde-wb@landkreis.wittenberg.de,,,,,,,
Zentrale Abschiebestelle des Landes Sachsen-Anhalt,Abschiebestelle des Landes Sachsen-Anhalt,Stadt,Sachsen-Anhalt,N,#N/A,#N/A,#N/A,doreen.arnold@anhalt-bitterfeld.de,,,,,,,
SMD ABH Sachsen-Anhalt,ABH Sachsen-Anhalt,Stadt,Sachsen-Anhalt,N,#N/A,#N/A,#N/A,aufenthaltsrecht@schaumburg.de,,,,,,,
LaZuF - LUK Boostedt,LUK Boostedt,Stadt,Schleswig-Holstein,N,#N/A,#N/A,#N/A,auslaenderbehoerde@kreis-segeberg.de,,,,,,,
LaZuF - LUK Rendsburg,LUK Rendsburg,Stadt,Schleswig-Holstein,N,#N/A,#N/A,#N/A,abh@kreis-rd.de,,,,,,,
LaZuF - LUK Bad Segeberg,Luká,Stadt,Schleswig-Holstein,N,#N/A,#N/A,#N/A,auslaenderamt@landkreis-schwandorf.de,,,,,,,
LaZuF - LUK Seeth,LUK Seeth,Stadt,Schleswig-Holstein,N,#N/A,#N/A,#N/A,auslaenderbehoerde@nordfriesland.de,,,,,,,
LaZuF - LUK Glücksstadt,LUK Glücksstadt,Stadt,Schleswig-Holstein,N,#N/A,#N/A,#N/A,abh@steinburg.de,,,,,,,
LaZuF - LUK Kiel,LUK Kiel,Stadt,Schleswig-Holstein,N,#N/A,#N/A,#N/A,auslaenderbehoerde-wb@landkreis.wittenberg.de,,,,,,,
LaZuf - LUK Fahrenkrug,LUK Fahrenkrug,Stadt,Schleswig-Holstein,N,#N/A,#N/A,#N/A,auslaenderbehoerde@kreis-segeberg.de,,,,,,,
STV Flensburg,Flensburg,Stadt,Schleswig-Holstein,N,96326,Fabian Geyer,Parteilos,einwanderungsbuero@flensburg.de,,,,,,,
LHS Kiel,Kiel,Stadt,Schleswig-Holstein,N,252668,Samet Yilmaz,Grüne,auslaenderangelegenheiten@kiel.de,,,,,,,
STV Neumünster,Neumünster,Stadt,Schleswig-Holstein,N,79809,Tobias Bergmann,SPD,auslaenderbehoerde@neumuenster.de,,,,,,,
STV Lübeck,Lübeck,Stadt,Schleswig-Holstein,N,216889,#N/A,#N/A,ordnungsamt@luebeck.de,,,,,,,
KRV Ostholstein,Ostholstein,Stadt,Schleswig-Holstein,N,#N/A,#N/A,#N/A,auslaenderbehoerde@kreis-oh.de,,,,,,,
KRV Nordfriesland,Nordfriesland,Stadt,Schleswig-Holstein,N,#N/A,#N/A,#N/A,poststelle@amtfuermigration.hamburg.de,,,,,,,
KRV Herzogtum Lauenburg,District of Duchy of Lauenburg,Stadt,Schleswig-Holstein,N,#N/A,#N/A,#N/A,auslaenderwesen@lra-deg.bayern.de,,,,,,,
KRV Dithmarschen,Dithmarschen,Stadt,Schleswig-Holstein,N,#N/A,#N/A,#N/A,abh@steinburg.de,,,,,,,
KRV Pinneberg,Pinneberg,Stadt,Schleswig-Holstein,N,44865,#N/A,#N/A,abh@kreis-pinneberg.de,,,,,,,
KRV Plön,Plön,Stadt,Schleswig-Holstein,N,8844,#N/A,#N/A,abh@kreis-ploen.de,,,,,,,
KRV Rendsburg-Eckernfoerde,Rendsburg,Stadt,Schleswig-Holstein,N,30633,#N/A,#N/A,abh@kreis-rd.de,,,,,,,
KRV Schleswig-Flensburg,Schleswig,Stadt,Schleswig-Holstein,N,25352,#N/A,#N/A,kreis@schleswig-flensburg.de,,,,,,,
KRV Segeberg,Segeberg,Stadt,Schleswig-Holstein,N,18399,#N/A,#N/A,auslaenderbehoerde@kreis-segeberg.de,,,,,,,
KRV Steinburg,Steinburg,Stadt,Schleswig-Holstein,N,#N/A,#N/A,#N/A,info@kreis-stormarn.de,,,,,,,
KRV Stormarn,Stormarn,Stadt,Schleswig-Holstein,N,#N/A,#N/A,#N/A,info@kreis-stormarn.de,,,,,,,
LaZuF - Neumünster,Neumünster,Stadt,Schleswig-Holstein,N,79809,Tobias Bergmann,SPD,auslaenderbehoerde@neumuenster.de,,,,,,,
LaZuF - ZSFE,Zu,Stadt,Schleswig-Holstein,N,#N/A,#N/A,#N/A,,,,,,,,
LaZuF - LZF 34,Zu,Stadt,Schleswig-Holstein,N,#N/A,#N/A,#N/A,,,,,,,,
Clearingstelle Thüringer Landesverwaltungsamt,Thüringer Landesverwaltungsamt,Stadt,Thüringen,N,#N/A,#N/A,#N/A,abh@kyffhaeuser.de,,,,,,,
LRA Weimarer Land,Weimarer Land,Stadt,Thüringen,N,#N/A,#N/A,#N/A,auslaenderbehoerde@landshut.de,,,,,,,
STV Erfurt,Erfurt,Stadt,Thüringen,N,218793,Andreas Horn,CDU/CSU,auslaenderbehoerde@erfurt.de,,,,,,,
LRA Gotha,Gotha,Stadt,Thüringen,N,46400,Knut Kreuch,SPD,auslaender@kreis-gth.de,,,,,,,
LRA Nordhausen,Nordhausen,Stadt,Thüringen,N,40767,Kai Buchmann,Parteilos,auslaenderwesen@lrandh.thueringen.de,,,,,,,
LRA Sömmerda,Sömmerda,Stadt,Thüringen,N,18503,#N/A,#N/A,auslaenderbehoerde@lra-soemmerda.de,,,,,,,
STV Weimar,Weimar,Stadt,Thüringen,N,65954,Peter Kleine,Parteilos,auslaenderbehoerde@marburg-biedenkopf.de,,,,,,,
LRA Eichsfeld,Eichsfeld,Stadt,Thüringen,N,#N/A,#N/A,#N/A,auslaenderbehoerde@landkreis-peine.de,,,,,,,
STV Gera,Gera,Stadt,Thüringen,N,95608,Kurt Dannenberg,CDU/CSU,auslaenderwesen@gera.de,,,,,,,
LRA Greiz,Greiz,Stadt,Thüringen,N,19766,#N/A,#N/A,auslaender@landkreis-greiz.de,,,,,,,
STV Jena,Jena,Stadt,Thüringen,N,109725,Thomas Nitzsche,FDP,auslaenderbehoerde@jena.de,,,,,,,
LRA Saalfeld-Rudolstadt,Saalfeld-Rudolstadt,Stadt,Thüringen,N,#N/A,#N/A,#N/A,auslaenderbehoerde@kreis-slf.de,,,,,,,
STV Suhl / Thüringen,Suhl,Stadt,Thüringen,N,34685,André Knapp,CDU/CSU,auslaenderbehoerde@stadtsuhl.de,,,,,,,
LRA Hildburghausen,Hildburghausen,Stadt,Thüringen,N,11632,#N/A,#N/A,poststelle@lrahbn.thueringen.de,,,,,,,
LRA Schmalkalden-Meiningen,Schmalkalden-Meiningen,Stadt,Thüringen,N,#N/A,#N/A,#N/A,abh@lra-sm.thueringen.de,,,,,,,
LRA Sonneberg,Sonneberg,Stadt,Thüringen,N,22843,#N/A,#N/A,auslaenderbehoerde@lkson.de,,,,,,,
LRA Altenburger Land,Altenburger Land,Stadt,Thüringen,N,#N/A,#N/A,#N/A,auslaenderbehoerde@blk.de,,,,,,,
LRA Ostalbkreis,Ostalbkreis,Landkreis,Baden-Württemberg,N,#N/A,#N/A,#N/A,,,,,,,,
LRA Hohenlohekreis,Hohenlohekreis,Landkreis,Baden-Württemberg,N,#N/A,#N/A,#N/A,,,,,,,,
LRA Alb-Donau Kreis in Ulm,Alb-Donau-Kreis,Landkreis,Baden-Württemberg,N,#N/A,#N/A,#N/A,auslaenderwesen@ulm.de,,,,,,,
